CSDUID,pop2016,instability_CSDUID,deprivation_CSDUID,dependency_CSDUID,ethniccon_CSDUID,instability_q_CSDUID,deprivation_q_CSDUID,dependency_q_CSDUID,ethniccon_q_CSDUID
3539005,5723,-0.300634085,-0.076892738,0.260998747,-0.983835185,3,3,3,2
3539015,20867,-0.272219111,-0.152713055,0.134164484,-0.768207647,3,3,2,4
3539017,,,,,,,,,
3539018,153,,,,,,,,
3539021,,,,,,,,,
3539027,13191,-0.695260216,-0.683730238,-0.199776663,-0.742963882,1,1,1,4
3539033,17262,-0.780480359,-0.998610501,-0.254055141,-0.584820153,1,1,1,5
3539036,383822,0.448432709,0.107883369,-0.074184895,0.045055527,5,3,2,5
3539041,6352,-0.540328573,-0.251248674,-0.108312004,-0.877403748,2,2,2,3
3539047,2990,-0.878406902,-0.704533732,-0.300225476,-0.658585613,1,1,1,4
3539060,4700,-0.450416153,-0.721535939,-0.368021195,-0.73194381,2,1,1,4
3540005,10096,-0.157865753,0.035833223,0.827083168,-0.852154541,4,3,4,3
3540010,7136,-0.1237633,-0.591620717,0.541083928,-1.036828131,4,1,3,2
3540025,7576,-0.247339112,-0.246967446,0.531834129,-0.840871737,3,2,3,3
3540028,7628,0.33580402,-0.168044387,0.960041701,-0.864754585,5,3,4,3
3540040,9138,-0.340517923,-0.098307214,0.075824541,-0.870968718,3,3,2,3
3540046,3873,-1.109307207,0.494921221,-0.251103959,-0.565153767,1,5,1,5
3540050,3496,-0.912827515,0.13930659,-0.100988833,-0.81295234,1,3,2,3
3540055,4932,-0.15720823,0.315434528,0.250709722,-0.802320567,4,4,3,3
3540063,5422,-0.69847886,-0.095586854,0.569545885,-0.917386175,1,3,4,2
3541004,5639,-0.525685389,-0.278359215,-0.125452079,-0.955952873,2,2,2,2
3541015,7069,-0.460495629,-0.220756882,0.501326137,-0.859175879,2,2,3,3
3541024,11389,-0.165109898,-0.593735629,0.445077308,-0.794171017,4,1,3,4
3541032,9461,-0.220072418,-0.174547189,0.288059246,-0.943656809,3,2,3,2
3541043,6803,-0.348054751,0.002660234,0.211393499,-0.758263505,3,3,2,4
3541045,13715,-0.024079322,-0.703545245,0.776615488,-0.757566439,4,1,4,4
3541055,8416,-0.11373894,0.044242537,1.362325144,-1.056634317,4,3,5,2
3541056,0,,,,,,,,
3541057,1041,,,,,,,,
3541060,615,,,,,,,,
3541069,3999,-0.089514681,-0.361578501,2.276600121,-1.271653613,4,2,5,1
3542004,12518,-0.408278495,-0.038808184,0.53023828,-0.938804299,2,3,3,2
3542005,7354,-0.656810132,0.47899534,-0.34511645,-0.787111618,1,4,1,4
3542015,9804,-0.491500081,0.033780057,0.482119804,-0.864477045,2,3,3,3
3542029,7688,0.19626647,0.330096187,0.916516919,-0.796588598,5,4,4,4
3542037,6630,-0.590948352,-0.004222626,0.29333072,-0.79997028,1,3,3,4
3542045,7025,0.121509892,-0.954385482,1.324839491,-1.076479241,5,1,5,1
3542047,10991,-0.120492685,-0.288518713,0.998752861,-0.979615982,4,2,4,2
3542053,10479,-0.571385763,-0.576568985,0.585433669,-0.918150664,2,1,4,2
3542059,21341,0.615864019,0.507650191,0.675649171,-0.758640201,5,5,4,4
3543003,10975,-0.67442479,-0.490744246,-0.303890608,-0.635496585,1,2,1,4
3543005,14151,-0.481552659,-0.232228883,-0.022164393,-0.822736411,2,2,2,3
3543007,34242,-0.325813126,-0.322999528,-0.013261698,-0.442749381,3,2,2,5
3543009,19059,-0.701371995,-0.730826412,-0.385018799,-0.532846685,1,1,1,5
3543014,35325,-0.554359095,-0.353618599,-0.666394224,0.160127097,2,2,1,5
3543015,13477,-0.350102185,-0.192760276,0.315430051,-0.846047487,3,2,3,3
3543017,36566,-0.513584938,-0.223713176,-0.233546837,-0.428484102,2,2,1,5
3543019,9488,-0.316144154,-0.106627262,0.826952338,-0.931936739,3,3,4,2
3543021,21083,-0.38665616,-0.359871195,-0.791248277,-0.450970691,3,2,1,5
3543023,21036,-0.582699686,-0.698300495,0.067868561,-0.773706493,1,1,2,4
3543031,21793,0.320179821,-0.127232608,0.664356819,-0.683521202,5,3,4,4
3543042,141434,-0.027197701,-0.023819161,-0.534536166,-0.141544598,4,3,1,5
3543050,878,,,,,,,,
3543052,31166,0.529282058,0.601082403,0.530718208,-0.575167211,5,5,3,5
3543064,20675,-0.144536774,0.042363502,1.696064323,-0.73986789,4,3,5,4
3543068,11787,-0.337988556,-0.217600429,0.9203858,-0.905892676,3,2,4,2
3543069,614,,,,,,,,
3543070,42,,,,,,,,
3543071,10033,-0.292478759,0.08699924,0.442448092,-0.900673225,3,3,3,3
3543072,8962,0.124974767,0.370473972,0.725270649,-0.721747133,5,4,4,4
3543074,16864,0.337610433,0.629056218,0.794078783,-0.656498633,5,5,4,4
3544002,12311,0.109053447,0.336063514,0.864851869,-0.777116,5,4,4,4
3544018,16010,-0.039814273,-0.179065529,0.543826518,-0.872975984,4,2,3,3
3544027,3167,-0.206885366,-0.638676677,1.301509536,-1.265096046,4,1,5,1
3544042,19816,-0.139217914,-0.154251624,0.35233996,-0.827602714,4,3,3,3
3544053,6588,-0.178695403,-0.464570141,0.943223478,-1.145989124,4,2,4,1
3544065,2499,-0.176178708,0.330836864,1.315740207,-1.192448068,4,4,5,1
3544071,,,,,,,,,
3544073,208,,,,,,,,
3546005,3343,-0.125662896,0.76978241,1.858358762,-1.132598185,4,5,5,1
3546015,6088,-0.102704307,0.208289117,1.572928141,-1.104620943,4,4,5,1
3546018,2351,-0.219626797,0.145363447,2.029698206,-1.084415743,3,3,5,1
3546024,6280,-0.059857507,0.070072111,1.474308456,-1.136565913,4,3,5,1
3547002,8795,0.438695719,0.138867118,0.635302786,-0.696151486,5,3,4,4
3547003,7178,-0.517697136,-0.55126578,0.126610155,-0.908523566,2,1,2,2
3547008,2518,-0.230442833,-0.294421794,1.554766002,-1.24163007,3,2,5,1
3547020,1503,-0.616120046,0.936895466,1.270988429,-1.068330562,1,5,5,2
3547030,4123,-0.17844519,0.734141796,1.490624866,-1.11993376,4,5,5,1
3547033,2420,-0.239040143,0.3816114,0.954274535,-0.925156386,3,4,4,2
3547035,3674,-0.288160231,0.306341279,1.172852647,-1.05650716,3,4,5,2
3547037,440,,,,,,,,
3547043,2935,-0.699390262,-0.280608154,-0.206191145,-0.847736063,1,2,1,3
3547046,2887,-0.526142551,-0.4167757,0.262598231,-1.028850264,2,2,3,2
3547048,8223,0.608425753,0.794113717,1.084650914,-0.869023504,5,5,5,3
3547056,7009,-0.422610282,-0.021341916,0.327247477,-0.969291902,2,3,3,2
3547064,13882,0.531784782,0.672759317,0.800626166,-0.809554567,5,5,4,3
3547070,2915,-0.485678603,-0.048290976,0.519097838,-1.031101571,2,3,3,2
3547075,9387,-0.584781935,-0.237202645,0.127886625,-0.915570543,1,2,2,2
3547076,17187,-0.058926778,-0.689115134,-0.96593167,-0.539695301,4,1,1,5
3547090,2961,-0.312724143,-0.285981296,0.064502132,-0.971878311,3,2,2,2
3547096,4109,-0.176398566,-0.639003582,0.791102511,-0.671452582,4,1,4,4
3547098,248,,,,,,,,
3548001,1096,-0.107401179,1.56717087,1.350157598,-1.604090486,4,5,5,1
3548013,1016,-0.346973822,0.575666363,0.480789654,-0.984201634,3,5,3,2
3548019,161,,,,,,,,
3548021,1993,0.370117638,1.71455655,1.074829326,-0.778624971,5,5,5,4
3548022,516,-0.631110116,1.462088157,1.041858573,-1.028775581,1,5,5,2
3548027,1975,-0.465668525,0.131806131,0.310845106,-1.015887316,2,3,3,2
3548031,1291,-0.561579048,0.186035003,0.213915044,-0.813529078,2,4,2,3
3548034,4750,-0.648520472,-0.580432887,0.053050609,-0.881966437,1,1,2,3
3548044,51553,0.413190394,0.367860648,0.271656544,-0.604524941,5,4,3,5
3548055,14364,-0.045472899,0.687993182,0.954648198,-0.825595207,4,5,4,3
3548069,802,0.094019679,1.070356054,1.499675565,-1.128425704,5,5,5,1
3548072,153,,,,,,,,
3548073,1593,,,,,,,,
3548091,103,,,,,,,,
3548094,1784,-0.38500364,0.489314771,0.534851624,-1.189160957,3,5,3,1
