"CSDUID","Deprivation","EthnicCon","Name","under20","20s","30s","40s","50s","60s","70s","over80","DeprivationModifier","EthnicModifier"
3543042,3,5,"Barrie (CY)",0.0117165808128899,0.0111972731146144,0.0109491305102242,0.0111211926979714,0.0103015137018228,0.00843522331327209,0.00866552069280647,0.00958831139182711,0.0134241486659534,0.0581201710039534
3543052,5,5,"Orillia (CY)",0.00199945636132294,0.00222127538701889,0.0019792545886062,0.00188960384913136,0.00236745909079758,0.00272093759898638,0.00314417511641064,0.00419382932129298,0.928687915673553,0.0581201710039534
3543064,3,4,"Wasaga Beach (T)",0.00111395900697558,0.000877716233489561,0.00100286153746614,0.00117926818778389,0.00155050170506121,0.00269876464998416,0.00345968057791897,0.00229138658481935,0.0134241486659534,0.397478022900578
3543068,2,2,"Tiny (TP)",0.000652032891807565,0.000576622638829712,0.000573483870398527,0.000721434656056028,0.00109418316528054,0.00151409566043712,0.00149049131816006,0.000946993717711319,0.00546212244529098,0.169346756980225
3543071,3,3,"Tay (TP)",0.000622016032338163,0.000568101121999716,0.000617598014275337,0.000718659907378889,0.000890557150217119,0.00110547988596769,0.00100635362722486,0.000583415772518581,0.0134241486659534,0.242733923355498
3543072,4,4,"Penetanguishene (T)",0.000536968263841524,0.000565260616389717,0.000532310669446838,0.000543850740719159,0.000787517479944064,0.000855242318656953,0.000990034379215806,0.00103154672822126,0.0509556829395033,0.397478022900578
3543074,5,4,"Midland (T)",0.00105392528803678,0.0009998579747195,0.000973452108214936,0.00101555801583272,0.00136895561934202,0.0017231548938866,0.00186583402236825,0.00209691466064649,0.928687915673553,0.397478022900578
3544002,4,4,"Gravenhurst (T)",0.000640359668680576,0.000636273256639682,0.000744058560055525,0.000765830634890245,0.00105247663207478,0.00136205258156478,0.00149049131816006,0.00163187310284183,0.0509556829395033,0.397478022900578
3544018,2,3,"Bracebridge (T)",0.00102390842856738,0.00090044027836955,0.000941101736038609,0.000973936785675637,0.00130271583130934,0.00162496040544821,0.00181143652900474,0.00190244273647363,0.00546212244529098,0.242733923355498
3544027,1,1,"Lake of Bays (TP)",0.00013841107422002,0.000122141741229939,0.000129401488705309,0.000172034417982591,0.000287039081474939,0.000475134621476085,0.000538535184298708,0.000304390837835781,0.00147013027569939,0.132321125759746
3544042,3,3,"Huntsville (T)",0.00131073619683055,0.0011930123561994,0.00123225508562555,0.00130135712957799,0.00166826132823042,0.00183718720304086,0.00198550850776796,0.00207154875749351,0.0134241486659534,0.242733923355498
3544053,2,1,"Muskoka Lakes (TP)",0.000316844627732576,0.00034086067319983,0.000311739950062789,0.000363492076705152,0.000628051323569098,0.000864745011086475,0.000908438139170547,0.000617236976722556,0.00546212244529098,0.132321125759746
3544065,4,1,"Georgian Bay (TP)",0.00011172942135833,0.000110779718789945,0.000111755831154585,0.000133187936502651,0.000245332548269179,0.000370605004751346,0.000353583706862788,0.000245203730478824,0.0509556829395033,0.132321125759746
3546005,5,1,"Highlands East (MU)",0.00013841107422002,0.000130663258059935,0.000114696774079705,0.000169259669305453,0.000355732194990309,0.000506810262907824,0.000511336437616955,0.000372033246243733,0.928687915673553,0.132321125759746
